<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,1,20190114,152000,1972,1972.5,1972,1972.5,20
YNDX,1,20190114,152100,1972.5,1972.5,1972.5,1972.5,8
YNDX,1,20190114,152300,1971.5,1971.5,1971.5,1971.5,10
YNDX,1,20190114,152400,1972,1972,1972,1972,3
YNDX,1,20190114,152500,1972.5,1972.5,1972.5,1972.5,7
YNDX,1,20190114,152600,1972.5,1972.5,1972.5,1972.5,4
YNDX,1,20190114,152800,1972.5,1973.5,1972.5,1973.5,62
YNDX,1,20190114,152900,1974,1974,1974,1974,35
YNDX,1,20190114,153000,1974,1974,1974,1974,1
YNDX,1,20190114,153100,1974,1974,1974,1974,3
YNDX,1,20190114,153400,1974,1974,1974,1974,1
YNDX,1,20190114,153500,1974,1974,1974,1974,2
YNDX,1,20190114,153600,1974,1974,1974,1974,101
YNDX,1,20190114,153800,1974,1974,1974,1974,1
YNDX,1,20190114,154100,1974,1974,1974,1974,1
YNDX,1,20190114,154200,1974,1974,1974,1974,128
YNDX,1,20190114,154300,1974.5,1974.5,1974.5,1974.5,1
YNDX,1,20190114,154400,1974,1974,1974,1974,2
YNDX,1,20190114,154500,1974,1974,1974,1974,1
YNDX,1,20190114,154600,1974.5,1974.5,1974.5,1974.5,300
YNDX,1,20190114,154700,1974.5,1974.5,1974.5,1974.5,10
YNDX,1,20190114,154900,1974,1974.5,1973,1974,124
YNDX,1,20190114,155000,1973,1973,1973,1973,10
YNDX,1,20190114,155200,1974,1974,1974,1974,8
YNDX,1,20190114,155300,1974,1974.5,1974,1974,7
YNDX,1,20190114,155400,1974.5,1974.5,1974.5,1974.5,25
YNDX,1,20190114,155500,1973.5,1973.5,1973.5,1973.5,10
YNDX,1,20190114,155600,1973.5,1973.5,1973,1973.5,85
YNDX,1,20190114,155700,1974,1974.5,1973.5,1974.5,13
YNDX,1,20190114,155800,1974.5,1974.5,1974,1974.5,42
YNDX,1,20190114,155900,1973.5,1975,1973,1975,1589
YNDX,1,20190114,160000,1975,1975,1973.5,1975,7
YNDX,1,20190114,160100,1975,1975,1975,1975,1
YNDX,1,20190114,160200,1975,1975,1974,1974,7
YNDX,1,20190114,160300,1975,1975,1975,1975,15
YNDX,1,20190114,160500,1975,1975,1973,1973,272
YNDX,1,20190114,160800,1974,1974,1973,1973,2
YNDX,1,20190114,160900,1973,1973,1973,1973,2
YNDX,1,20190114,161100,1973,1973,1973,1973,1
YNDX,1,20190114,161200,1974,1974.5,1974,1974.5,361
YNDX,1,20190114,161300,1974.5,1974.5,1974.5,1974.5,43
YNDX,1,20190114,161500,1974.5,1974.5,1974.5,1974.5,45
YNDX,1,20190114,161600,1973,1974.5,1973,1974.5,14
YNDX,1,20190114,161700,1973,1973,1973,1973,2
YNDX,1,20190114,161800,1973,1973,1973,1973,2
YNDX,1,20190114,161900,1974.5,1974.5,1973,1973,9
YNDX,1,20190114,162000,1973,1973,1973,1973,1
YNDX,1,20190114,162100,1973,1973,1973,1973,2
YNDX,1,20190114,162200,1974.5,1974.5,1974.5,1974.5,16
YNDX,1,20190114,162600,1974.5,1974.5,1974.5,1974.5,1
YNDX,1,20190114,162700,1973,1975,1973,1975,12
YNDX,1,20190114,162800,1975,1975.5,1974,1975.5,86
YNDX,1,20190114,163100,1974,1974,1973.5,1973.5,50
YNDX,1,20190114,163200,1975,1975,1975,1975,16
YNDX,1,20190114,163300,1975,1975,1975,1975,25
YNDX,1,20190114,163400,1975,1975,1975,1975,3
YNDX,1,20190114,163500,1975,1975,1973.5,1973.5,9
YNDX,1,20190114,163600,1975,1976,1975,1976,355
YNDX,1,20190114,163700,1975,1976,1975,1976,22
YNDX,1,20190114,163900,1975.5,1976,1975.5,1976,10
YNDX,1,20190114,164000,1976,1976,1976,1976,98
YNDX,1,20190114,164100,1975,1975,1975,1975,1
YNDX,1,20190114,164200,1975.5,1977,1975.5,1977,1526
YNDX,1,20190114,164300,1977,1977,1975.5,1977,526
YNDX,1,20190114,164400,1977,1977,1977,1977,49
YNDX,1,20190114,164500,1977,1977,1975.5,1977,396
YNDX,1,20190114,164600,1977,1977,1977,1977,120
YNDX,1,20190114,164700,1977,1977,1977,1977,10
YNDX,1,20190114,164800,1975,1975,1974.5,1974.5,81
YNDX,1,20190114,164900,1976.5,1976.5,1976.5,1976.5,83
YNDX,1,20190114,165000,1977,1977,1977,1977,1
YNDX,1,20190114,165100,1975.5,1975.5,1975.5,1975.5,8
YNDX,1,20190114,165200,1976.5,1976.5,1976.5,1976.5,11
YNDX,1,20190114,165400,1977,1977,1976.5,1976.5,109
YNDX,1,20190114,165600,1977,1977,1976,1976,6
YNDX,1,20190114,165700,1977,1977,1976,1976,21
YNDX,1,20190114,165800,1976,1976,1976,1976,7
YNDX,1,20190114,165900,1977,1977,1977,1977,12
YNDX,1,20190114,170000,1977,1977,1977,1977,7
YNDX,1,20190114,170100,1976,1976,1976,1976,100
YNDX,1,20190114,170200,1975.5,1975.5,1974.5,1975,354
YNDX,1,20190114,170300,1975,1975,1975,1975,168
YNDX,1,20190114,170400,1975,1975,1975,1975,48
YNDX,1,20190114,170600,1973.5,1974.5,1972.5,1974.5,132
YNDX,1,20190114,170700,1974,1974,1974,1974,2
YNDX,1,20190114,170800,1974.5,1974.5,1974.5,1974.5,6
YNDX,1,20190114,171000,1973,1973,1973,1973,1
YNDX,1,20190114,171200,1973,1974,1973,1974,4
YNDX,1,20190114,171500,1974,1974,1974,1974,29
YNDX,1,20190114,171600,1974,1974,1972.5,1972.5,21
YNDX,1,20190114,171700,1974,1974,1974,1974,2
YNDX,1,20190114,171900,1974,1974,1974,1974,3
YNDX,1,20190114,172000,1974,1974,1974,1974,75
