<open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1716355920000,0.03193079,0.03193412,0.03189704,0.03189704,0,1716355979999,0,60,0,0,0
1716355980000,0.03190509,0.03197927,0.03189982,0.03195964,0,1716356039999,0,60,0,0,0
1716356040000,0.03196050,0.03196050,0.03188028,0.03192891,0,1716356099999,0,60,0,0,0
1716356100000,0.03192719,0.03195046,0.03191545,0.03191545,0,1716356159999,0,60,0,0,0
1716356160000,0.03191545,0.03194208,0.03190238,0.03191506,0,1716356219999,0,60,0,0,0
1716356220000,0.03191677,0.03193372,0.03190010,0.03190010,0,1716356279999,0,60,0,0,0
1716356280000,0.03190010,0.03194748,0.03189186,0.03191423,0,1716356339999,0,60,0,0,0
1716356340000,0.03191823,0.03191823,0.03179578,0.03179578,0,1716356399999,0,60,0,0,0
1716356400000,0.03179578,0.03180648,0.03172494,0.03177401,0,1716356459999,0,60,0,0,0
1716356460000,0.03178233,0.03181882,0.03176743,0.03177057,0,1716356519999,0,60,0,0,0
1716356520000,0.03176486,0.03178685,0.03175639,0.03176932,0,1716356579999,0,60,0,0,0
1716356580000,0.03176932,0.03179831,0.03175252,0.03176623,0,1716356639999,0,60,0,0,0
1716356640000,0.03176391,0.03178502,0.03174220,0.03176682,0,1716356699999,0,60,0,0,0
1716356700000,0.03176368,0.03179759,0.03169844,0.03170269,0,1716356759999,0,60,0,0,0
1716356760000,0.03170586,0.03170586,0.03163936,0.03164907,0,1716356819999,0,60,0,0,0
1716356820000,0.03165078,0.03165078,0.03161530,0.03161530,0,1716356879999,0,60,0,0,0
1716356880000,0.03161843,0.03163415,0.03159007,0.03159980,0,1716356939999,0,60,0,0,0
1716356940000,0.03159665,0.03159665,0.03148899,0.03149693,0,1716356999999,0,60,0,0,0
1716357000000,0.03149378,0.03158122,0.03148841,0.03153626,0,1716357059999,0,60,0,0,0
1716357060000,0.03152443,0.03157658,0.03151300,0.03153487,0,1716357119999,0,60,0,0,0
1716357120000,0.03152258,0.03156655,0.03141679,0.03142563,0,1716357179999,0,60,0,0,0
1716357180000,0.03142554,0.03142877,0.03134567,0.03136800,0,1716357239999,0,60,0,0,0
1716357240000,0.03136800,0.03143021,0.03135064,0.03142114,0,1716357299999,0,60,0,0,0
1716357300000,0.03142114,0.03150272,0.03139493,0.03149989,0,1716357359999,0,60,0,0,0
1716357360000,0.03151132,0.03151132,0.03143886,0.03147713,0,1716357419999,0,60,0,0,0
1716357420000,0.03148028,0.03148813,0.03144913,0.03147902,0,1716357479999,0,60,0,0,0
1716357480000,0.03147502,0.03150662,0.03144550,0.03148483,0,1716357539999,0,60,0,0,0
1716357540000,0.03148312,0.03150103,0.03145093,0.03148777,0,1716357599999,0,60,0,0,0
1716357600000,0.03150406,0.03156431,0.03147334,0.03147334,0,1716357659999,0,60,0,0,0
